id,category
Train_0.jpg,20
Train_1.jpg,19
Train_2.jpg,23
Train_3.jpg,9
Train_4.jpg,6
Train_5.jpg,17
Train_6.jpg,10
Train_7.jpg,1
Train_8.jpg,20
Train_9.jpg,19
Train_10.jpg,2
Train_11.jpg,24
Train_12.jpg,4
Train_13.jpg,15
Train_14.jpg,11
Train_15.jpg,16
Train_16.jpg,20
Train_17.jpg,4
Train_18.jpg,3
Train_19.jpg,20
Train_20.jpg,11
Train_21.jpg,15
Train_22.jpg,24
Train_23.jpg,17
Train_24.jpg,10
Train_25.jpg,12
Train_26.jpg,0
Train_27.jpg,17
Train_28.jpg,10
Train_29.jpg,17
Train_30.jpg,13
Train_31.jpg,24
Train_32.jpg,24
Train_33.jpg,18
Train_34.jpg,17
Train_35.jpg,1
Train_36.jpg,24
Train_37.jpg,4
Train_38.jpg,17
Train_39.jpg,16
Train_40.jpg,23
Train_41.jpg,8
Train_42.jpg,6
Train_43.jpg,21
Train_44.jpg,22
Train_45.jpg,22
Train_46.jpg,12
Train_47.jpg,20
Train_48.jpg,19
Train_49.jpg,7
Train_50.jpg,10
Train_51.jpg,19
Train_52.jpg,15
Train_53.jpg,1
Train_54.jpg,13
Train_55.jpg,8
Train_56.jpg,16
Train_57.jpg,14
Train_58.jpg,4
Train_59.jpg,19
Train_60.jpg,11
Train_61.jpg,7
Train_62.jpg,12
Train_63.jpg,8
Train_64.jpg,17
Train_65.jpg,16
Train_66.jpg,4
Train_67.jpg,16
Train_68.jpg,14
Train_69.jpg,10
Train_70.jpg,21
Train_71.jpg,4
Train_72.jpg,21
Train_73.jpg,3
Train_74.jpg,12
Train_75.jpg,16
Train_76.jpg,7
Train_77.jpg,11
Train_78.jpg,9
Train_79.jpg,14
Train_80.jpg,5
Train_81.jpg,21
Train_82.jpg,4
Train_83.jpg,12
Train_84.jpg,10
Train_85.jpg,4
Train_86.jpg,18
Train_87.jpg,23
Train_88.jpg,4
Train_89.jpg,8
Train_90.jpg,10
Train_91.jpg,4
Train_92.jpg,8
Train_93.jpg,19
Train_94.jpg,8
Train_95.jpg,1
Train_96.jpg,22
Train_97.jpg,23
Train_98.jpg,21
Train_99.jpg,0
Train_100.jpg,17
Train_101.jpg,14
Train_102.jpg,6
Train_103.jpg,24
Train_104.jpg,0
Train_105.jpg,16
Train_106.jpg,12
Train_107.jpg,10
Train_108.jpg,24
Train_109.jpg,10
Train_110.jpg,8
Train_111.jpg,17
Train_112.jpg,12
Train_113.jpg,6
Train_114.jpg,17
Train_115.jpg,24
Train_116.jpg,17
Train_117.jpg,0
Train_118.jpg,21
Train_119.jpg,22
Train_120.jpg,24
Train_121.jpg,21
Train_122.jpg,17
Train_123.jpg,21
Train_124.jpg,14
Train_125.jpg,24
Train_126.jpg,10
Train_127.jpg,19
Train_128.jpg,7
Train_129.jpg,18
Train_130.jpg,14
Train_131.jpg,3
Train_132.jpg,15
Train_133.jpg,22
Train_134.jpg,4
Train_135.jpg,0
Train_136.jpg,6
Train_137.jpg,20
Train_138.jpg,23
Train_139.jpg,15
Train_140.jpg,23
Train_141.jpg,5
Train_142.jpg,19
Train_143.jpg,18
Train_144.jpg,24
Train_145.jpg,18
Train_146.jpg,8
Train_147.jpg,17
Train_148.jpg,8
Train_149.jpg,9
Train_150.jpg,6
Train_151.jpg,11
Train_152.jpg,9
Train_153.jpg,18
Train_154.jpg,24
Train_155.jpg,7
Train_156.jpg,10
Train_157.jpg,21
Train_158.jpg,19
Train_159.jpg,23
Train_160.jpg,6
Train_161.jpg,16
Train_162.jpg,4
Train_163.jpg,14
Train_164.jpg,18
Train_165.jpg,14
Train_166.jpg,7
Train_167.jpg,18
Train_168.jpg,17
Train_169.jpg,9
Train_170.jpg,8
Train_171.jpg,0
Train_172.jpg,10
Train_173.jpg,19
Train_174.jpg,21
Train_175.jpg,3
Train_176.jpg,23
Train_177.jpg,23
Train_178.jpg,24
Train_179.jpg,8
Train_180.jpg,13
Train_181.jpg,4
Train_182.jpg,10
Train_183.jpg,12
Train_184.jpg,0
Train_185.jpg,12
Train_186.jpg,4
Train_187.jpg,10
Train_188.jpg,3
Train_189.jpg,10
Train_190.jpg,13
Train_191.jpg,22
Train_192.jpg,23
Train_193.jpg,18
Train_194.jpg,19
Train_195.jpg,1
Train_196.jpg,10
Train_197.jpg,11
Train_198.jpg,16
Train_199.jpg,12
Train_200.jpg,0
Train_201.jpg,19
Train_202.jpg,11
Train_203.jpg,8
Train_204.jpg,8
Train_205.jpg,19
Train_206.jpg,7
Train_207.jpg,21
Train_208.jpg,2
Train_209.jpg,5
Train_210.jpg,24
Train_211.jpg,14
Train_212.jpg,3
Train_213.jpg,4
Train_214.jpg,24
Train_215.jpg,24
Train_216.jpg,21
Train_217.jpg,11
Train_218.jpg,10
Train_219.jpg,13
Train_220.jpg,7
Train_221.jpg,5
Train_222.jpg,14
Train_223.jpg,13
Train_224.jpg,23
Train_225.jpg,18
Train_226.jpg,8
Train_227.jpg,16
Train_228.jpg,12
Train_229.jpg,3
Train_230.jpg,4
Train_231.jpg,8
Train_232.jpg,13
Train_233.jpg,20
Train_234.jpg,15
Train_235.jpg,9
Train_236.jpg,12
Train_237.jpg,4
Train_238.jpg,10
Train_239.jpg,15
Train_240.jpg,22
Train_241.jpg,13
Train_242.jpg,20
Train_243.jpg,5
Train_244.jpg,20
Train_245.jpg,0
Train_246.jpg,2
Train_247.jpg,11
Train_248.jpg,19
Train_249.jpg,18
Train_250.jpg,20
Train_251.jpg,11
Train_252.jpg,19
Train_253.jpg,0
Train_254.jpg,24
Train_255.jpg,24
Train_256.jpg,11
Train_257.jpg,0
Train_258.jpg,7
Train_259.jpg,12
Train_260.jpg,19
Train_261.jpg,5
Train_262.jpg,24
Train_263.jpg,19
Train_264.jpg,12
Train_265.jpg,2
Train_266.jpg,17
Train_267.jpg,16
Train_268.jpg,24
Train_269.jpg,16
Train_270.jpg,19
Train_271.jpg,24
Train_272.jpg,20
Train_273.jpg,13
Train_274.jpg,14
Train_275.jpg,23
Train_276.jpg,21
Train_277.jpg,0
Train_278.jpg,1
Train_279.jpg,17
Train_280.jpg,3
Train_281.jpg,24
Train_282.jpg,10
Train_283.jpg,22
Train_284.jpg,0
Train_285.jpg,24
Train_286.jpg,18
Train_287.jpg,22
Train_288.jpg,18
Train_289.jpg,3
Train_290.jpg,3
Train_291.jpg,3
Train_292.jpg,20
Train_293.jpg,23
Train_294.jpg,0
Train_295.jpg,17
Train_296.jpg,0
Train_297.jpg,0
Train_298.jpg,24
Train_299.jpg,6
Train_300.jpg,17
Train_301.jpg,13
Train_302.jpg,1
Train_303.jpg,7
Train_304.jpg,23
Train_305.jpg,24
Train_306.jpg,4
Train_307.jpg,1
Train_308.jpg,8
Train_309.jpg,12
Train_310.jpg,10
Train_311.jpg,21
Train_312.jpg,18
Train_313.jpg,1
Train_314.jpg,4
Train_315.jpg,21
Train_316.jpg,5
Train_317.jpg,17
Train_318.jpg,7
Train_319.jpg,24
Train_320.jpg,10
Train_321.jpg,10
Train_322.jpg,11
Train_323.jpg,6
Train_324.jpg,6
Train_325.jpg,10
Train_326.jpg,5
Train_327.jpg,2
Train_328.jpg,20
Train_329.jpg,3
Train_330.jpg,14
Train_331.jpg,5
Train_332.jpg,19
Train_333.jpg,2
Train_334.jpg,8
Train_335.jpg,9
Train_336.jpg,24
Train_337.jpg,4
Train_338.jpg,22
